Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x5b4627f197e368ba2520ef2f4b2f728d4044b5462b73183c4f28d8d0d03d7be7","Success","Approve","23391475","2025-09-18 17:32:35","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xcccc62962d17b8914c62d74ffb843d73b2a3cccc","Cap: cUSD Token","0 ETH","$0.00","0.00014023"
"0xb95d70994f4a1110b5af8935eefa96d6965a5e3845f87da2b8736d0f992b0197","Success","Swap Exact Token For Yt","23391473","2025-09-18 17:32:11","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x888888888889758f76e7103c6cbf23abbf58f946","Pendle: RouterV4","0 ETH","$0.00","0.00082653"
"0x4e68d858e5ab53c19e55d45bdd9e2b58e0d31b62ff9b337f55df277b50758bf8","Success","Transfer","23391471","2025-09-18 17:31:47","0x5babe600b9fcd5fb7b66c0611bf4896d967b23a1","","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0.001481057 ETH","$5.75","0.0000557"
"0x488ad14b9650e98dda03c5680a43f94d17e9590015415a6a50ae5bd489a58d42","Success","Approve","23391418","2025-09-18 17:20:59","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xcccc62962d17b8914c62d74ffb843d73b2a3cccc","Cap: cUSD Token","0 ETH","$0.00","0.00009374"
"0x452c7a5ea7531c2b3e9b358a30276475712b3a5e3aa740ccf5e717fd0bf650ef","Success","Approve","23390985","2025-09-18 15:53:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xcccc62962d17b8914c62d74ffb843d73b2a3cccc","Cap: cUSD Token","0 ETH","$0.00","0.00009184"
"0x4129580b127b6469d5a2f329b780acbf126de3f13b8f57987843f0cf29ab069f","Success","Approve","23390976","2025-09-18 15:51:35","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xcccc62962d17b8914c62d74ffb843d73b2a3cccc","Cap: cUSD Token","0 ETH","$0.00","0.0001346"
"0xa7967ada10a4067418b3c265bd42a6be0f527fbaa50419ea82737e9b48d75605","Success","Transfer","23383161","2025-09-17 13:40:47","0x301e0281106cb1b4abd4fa5c2825686a8848d3b3","","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0.000458026 ETH","$1.78","0.00001777"
"0x5375e17518820ce465e9c67af739770e670a425dae0520be2b56c45cf02882c9","Success","Mint","23381784","2025-09-17 09:04:11","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xcccc62962d17b8914c62d74ffb843d73b2a3cccc","Cap: cUSD Token","0 ETH","$0.00","0.00006218"
"0xd79f0960346b71e50bb1c6fe52f2142465ac714a4bc2ce6e21cb3973b9fa2ca9","Success","Approve","23381782","2025-09-17 09:03:47","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","Circle: USDC Token","0 ETH","$0.00","0.00004103"
"0x4f49859ec2d8b3adf996f30fcb62b6b791900b67a40325abb4f834d15a299d6b","Success","0x2213bc0b","23379677","2025-09-17 02:00:59","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x0000000000001ff3684f28c67538d4d072c22734","0x: Allowance Holder","0.1335 ETH","$518.17","0.00012473"
"0xa2ce126e22753ccc9b4cbda10a4410ba024b2e061cfc8888bc60b03d2cdddf20","Success","Transfer","23379653","2025-09-17 01:56:11","0xbea9f7fd27f4ee20066f18def0bc586ec221055a","","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0.135019938 ETH","$524.07","0.00000244"
"0xef241fbe830a6a19d54ddc138867695795afe68f6228ff614d8b7f5c3bd41e56","Success","Transfer","23283185","2025-09-03 14:29:11","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xc3a7dbbf1eb61c1ee2cc576b3641e17ea61249d4","","0.0079162 ETH","$30.73","0.00005987"
"0x24196ce6b68580beb6cd2f8194af5b01cda3f5345268e9159741f6176f724c79","Success","Approve","23242636","2025-08-28 22:36:11","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xbe0ed4138121ecfc5c0e56b40517da27e6c5226b","Aethir: ATH Token","0 ETH","$0.00","0.00002392"
"0xaf25c08144a63afbba91192be8d4589b9ef90062ec80308991caa73374a0bcba","Success","Transfer","23118211","2025-08-11 13:49:47","0x301e0281106cb1b4abd4fa5c2825686a8848d3b3","","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0.008 ETH","$31.05","0.00006031"
"0x426564cf9c777532e7e578394d09091727c833a424b02181f23ca08efe537035","Success","Transfer","21891702","2025-02-21 02:22:47","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x301e0281106cb1b4abd4fa5c2825686a8848d3b3","","0.00100249 ETH","$3.89","0.0000189"
"0xb3639519d60294f3be619d918e08f4dbb407455e2fa9b57f6fc3396df4f54ad4","Success","Transfer","21364971","2024-12-09 12:33:11","0xdb6c171991f4884506c5c03bed85e4d55f37dc50","","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0.00087923 ETH","$3.41","0.00083388"
"0xf06ad2cb0a815157ead0c7d4287da28cdc96ebe3965fda86e2bb8d3ef8bb5b0f","Success","Transfer","21364967","2024-12-09 12:32:23","0xdb6c171991f4884506c5c03bed85e4d55f37dc50","","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0 ETH","$0.00","0.00089828"
"0x8051a7c4d18eb01500c10ff002377150323a767380f39ddcdf9cc76240dd32fc","Success","Transfer","21165138","2024-11-11 14:48:35","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0xdb6c171991f4884506c5c03bed85e4d55f37dc50","","0.00294826 ETH","$11.44","0.0004319"
"0x604682afb9052618a650890724a7e364c2dbd7555dec9f7dd502d3ab6dd75e2e","Success","Transfer","20420877","2024-07-30 17:31:59","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x497de1bc7b9223b4dc565b21518567bf7f65c067","Gate Dep: 0x497de1bc7b9223b4dc565b21518567bf7f65c067","0.04555 ETH","$176.80","0.00022759"
"0x2349b9840a684e12a563834f64776aa32e2c9a8eeffb6a050e23f39daf301332","Success","Transfer","20420797","2024-07-30 17:15:59","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x88909d489678dd17aa6d9609f89b0419bf78fd9a","Layer3: L3 Token","0 ETH","$0.00","0.00052911"
"0xcdb18d483496e9a7ab8c063f3e9f7dcb7250682a0b059d7beda9f9963792ac78","Success","Claim","20418988","2024-07-30 11:10:59","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0x6571e50e8769d236414f3fb9e9b1d05341f6f79a","","0 ETH","$0.00","0.0009619"
