"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3881.29539702267/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x452c7a5ea7531c2b3e9b358a30276475712b3a5e3aa740ccf5e717fd0bf650ef","23390985","1758210803","2025-09-18 15:53:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0xcccc62962d17b8914c62d74ffb843d73b2a3cccc","","0","0","0","0.000091846609810656","0.356483823890236","4589.64","","","Approve"
"0x488ad14b9650e98dda03c5680a43f94d17e9590015415a6a50ae5bd489a58d42","23391418","1758216059","2025-09-18 17:20:59","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0xcccc62962d17b8914c62d74ffb843d73b2a3cccc","","0","0","0","0.00009374865942012","0.363866240284358","4589.64","","","Approve"
"0x4e68d858e5ab53c19e55d45bdd9e2b58e0d31b62ff9b337f55df277b50758bf8","23391471","1758216707","2025-09-18 17:31:47","0x5babe600b9fcd5fb7b66c0611bf4896d967b23a1","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0.001481057764385423","0","5.74842268363383","0.000055705569507","0.216209770516046","4589.64","","","Transfer"
"0xb95d70994f4a1110b5af8935eefa96d6965a5e3845f87da2b8736d0f992b0197","23391473","1758216731","2025-09-18 17:32:11","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0x888888888889758f76e7103c6cbf23abbf58f946","","0","0","0","0.000826534903702005","3.20802611721717","4589.64","","","Swap Exact Token For Yt"
"0x5b4627f197e368ba2520ef2f4b2f728d4044b5462b73183c4f28d8d0d03d7be7","23391475","1758216755","2025-09-18 17:32:35","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0xcccc62962d17b8914c62d74ffb843d73b2a3cccc","","0","0","0","0.000140232327039912","0.544283085453788","4589.64","","","Approve"
"0x1c1f9f357bb5d73df19800a4b098af944a4e062fdbb5742ce6b9f20f0c37ef4c","23398504","1758301523","2025-09-19 17:05:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0xcccc62962d17b8914c62d74ffb843d73b2a3cccc","","0","0","0","0.000046754811182556","0.181469233431519","4471.56","","","Approve"
"0xd1930b72f735c436dbb2269fc89a50ca9a533c35e1256d60ab8155744a9c9387","23404028","1758368267","2025-09-20 11:37:47","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0x06f946d590010eab6a5556ad29d9979eb1a7fa3a","","0","0","0","0.000008918617742983","0.0346157899936446","4482.83","","","Approve"
"0x264d48124924d8f11a1f3f3513c4851c96ed22319fb8c22f1e101b2c031c5913","23404031","1758368303","2025-09-20 11:38:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0x888888888889758f76e7103c6cbf23abbf58f946","","0","0","0","0.00005569179590074","0.216156311081468","4482.83","","","Swap Exact Yt For Token"
"0x21f7174a1d2ac64c5d452f5ecd15cf4a58da05a00b4c8891506a18fa7982e269","23419224","1758552035","2025-09-22 14:40:35","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0xcccc62962d17b8914c62d74ffb843d73b2a3cccc","","0","0","0","0.00009082778084454","0.352529447713697","4202.86","","","Approve"
"0x3c02b682ed6548e4ca30d979eecbdc7b50f30674a7a24e9e5fc1906d6b71ff82","23419225","1758552047","2025-09-22 14:40:47","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0x111111125421ca6dc452d289314280a0f8842a65","","0","0","0","0.000664817251796728","2.5803521392599","4202.86","","","Swap"
